Lexema: procedimento, Símbolo: sprocedimento
Lexema: p4, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: var, Símbolo: svar
Lexema: i, Símbolo: sidentificador
Lexema: inteiro, Símbolo: sinteiro
Lexema: , Símbolo: 
Lexema: inicio, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: i, Símbolo: sidentificador
Lexema: =, Símbolo: 
Lexema: 0, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: val, Símbolo: sidentificador
Lexema: =, Símbolo: 
Lexema: i, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: escreva, Símbolo: sescreva
Lexema: val, Símbolo: sidentificador
Lexema: ;, Símbolo: sponto_virgula
Lexema: , Símbolo: 
Lexema: p1, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: escreva, Símbolo: sescreva
Lexema: val, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: fim, Símbolo: sfim
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: inicio, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: i, Símbolo: sidentificador
Lexema: =, Símbolo: 
Lexema: 0, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: enquanto, Símbolo: senquanto
Lexema: i, Símbolo: sidentificador
Lexema: <, Símbolo: smenor
Lexema: 3, Símbolo: snumero
Lexema: faca, Símbolo: sfaca
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: inicio, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: leia, Símbolo: sleia
Lexema: n, Símbolo: sidentificador
Lexema: ;, Símbolo: sponto_virgula
Lexema: , Símbolo: 
Lexema: leitura, Símbolo: sidentificador
Lexema: do, Símbolo: sidentificador
Lexema: valor, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: para, Símbolo: sidentificador
Lexema: o, Símbolo: sidentificador
Lexema: qual, Símbolo: sidentificador
Lexema: se, Símbolo: sse
Lexema: quer, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: calcular, Símbolo: sidentificador
Lexema: o, Símbolo: sidentificador
Lexema: fatorial, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: i, Símbolo: sidentificador
Lexema: =, Símbolo: 
Lexema: , Símbolo: 
Lexema: i, Símbolo: sidentificador
Lexema: 1, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: j, Símbolo: sidentificador
Lexema: =, Símbolo: 
Lexema: fat, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
