Lexema | Simbolo
------------------------------
programa | sprograma
teste1 | IDENTIFICADOR
var | svar
x | IDENTIFICADOR
y | IDENTIFICADOR
integer | IDENTIFICADOR
procedimento | sprocedimento
p | IDENTIFICADOR
var | svar
z | IDENTIFICADOR
integer | IDENTIFICADOR
inicio | IDENTIFICADOR
z | IDENTIFICADOR
= | sig
x | IDENTIFICADOR
x | IDENTIFICADOR
= | sig
x | IDENTIFICADOR
1 | NUMERO
se | sse
z | IDENTIFICADOR
1 | NUMERO
entao | sentao
p | IDENTIFICADOR
senao | ssenao
y | IDENTIFICADOR
= | sig
1 | NUMERO
y | IDENTIFICADOR
= | sig
y | IDENTIFICADOR
z | IDENTIFICADOR
fim | sfim
; | sponto_virgula
inicio | IDENTIFICADOR
leia | sleia
x | IDENTIFICADOR
; | sponto_virgula
p | IDENTIFICADOR
escreva | sescreva
( | sabre_parenteses
y | IDENTIFICADOR
; | sponto_virgula
escreva | sescreva
( | sabre_parenteses
x | IDENTIFICADOR
fim | sfim
