Lexema | Simbolo
------------------------------
progran | IDENTIFICADOR
teste2 | IDENTIFICADOR
inicio | IDENTIFICADOR
se | sse
( | sabre_parenteses
x | IDENTIFICADOR
< | smenor
= | sig
y | IDENTIFICADOR
ou | sou
( | sabre_parenteses
x | IDENTIFICADOR
= | sig
z | IDENTIFICADOR
e | se
( | sabre_parenteses
x | IDENTIFICADOR
= | sig
a | IDENTIFICADOR
ou | sou
( | sabre_parenteses
x | IDENTIFICADOR
t | IDENTIFICADOR
entao | sentao
{teste} | TipoToken
} | CARACTER_ESPECIAL
x | IDENTIFICADOR
= | sig
1 | NUMERO
% | CARACTER_ESPECIAL
fim | sfim
